ticker,current_price,market_time,updated_at,trend_angle
AAPL,275.5400085449219,2026-02-11 15:59:00-05:00,2026-02-12 10:24:13.240538,0.0
AAPL,275.5400085449219,2026-02-11 15:59:00-05:00,2026-02-12 10:24:25.441659,0.0
AAPL,275.5400085449219,2026-02-11 15:59:00-05:00,2026-02-12 10:24:25.534753,0.0
AAPL,275.5400085449219,2026-02-11 15:59:00-05:00,2026-02-12 10:39:26.269211,0.0
AAPL,275.5400085449219,2026-02-11 15:59:00-05:00,2026-02-12 10:54:26.690372,0.0
AAPL,275.5400085449219,2026-02-11 15:59:00-05:00,2026-02-12 11:24:30.727840,0.0
AAPL,272.8999938964844,2026-02-12 09:39:00-05:00,2026-02-12 11:39:32.088365,-10.847789612390883
AAPL,272.67498779296875,2026-02-12 09:54:00-05:00,2026-02-12 11:54:31.693655,-16.897164651306674
AAPL,270.7200012207031,2026-02-12 10:09:00-05:00,2026-02-12 12:09:31.718039,-24.41032272495712
AAPL,270.90008544921875,2026-02-12 10:24:00-05:00,2026-02-12 12:24:31.905548,-22.582656342762718
AAPL,271.44000244140625,2026-02-12 10:39:00-05:00,2026-02-12 12:39:31.707247,-9.76143137108756
AAPL,269.57000732421875,2026-02-12 10:54:00-05:00,2026-02-12 12:54:31.907676,-11.383578326049403
AAPL,268.07000732421875,2026-02-12 11:09:00-05:00,2026-02-12 13:09:31.917456,-13.761161158452088
AAPL,267.135009765625,2026-02-12 11:24:00-05:00,2026-02-12 13:24:32.172230,-21.91826525897013
AAPL,266.7900085449219,2026-02-12 11:39:00-05:00,2026-02-12 13:39:31.913462,-23.379955909999648
AAPL,265.0350036621094,2026-02-12 11:54:00-05:00,2026-02-12 13:54:32.198639,-21.004043919086477
AAPL,262.3500061035156,2026-02-12 13:29:00-05:00,2026-02-12 15:29:59.154232,0.0
AAPL,262.3500061035156,2026-02-12 13:29:00-05:00,2026-02-12 15:29:59.224821,0.0
AAPL,261.8999938964844,2026-02-12 13:30:00-05:00,2026-02-12 15:30:59.437346,0.0
AAPL,261.9501037597656,2026-02-12 13:31:00-05:00,2026-02-12 15:31:59.408671,0.0
AAPL,261.9599914550781,2026-02-12 13:32:00-05:00,2026-02-12 15:32:59.446086,-2.575169547333494
AAPL,262.1199951171875,2026-02-12 13:33:00-05:00,2026-02-12 15:33:59.407025,-0.8735633357924713
AAPL,261.8800048828125,2026-02-12 13:34:00-05:00,2026-02-12 15:34:59.464237,0.284208653665553
AAPL,261.94000244140625,2026-02-12 13:35:00-05:00,2026-02-12 15:35:59.465258,-0.2191406208239013
AAPL,261.67999267578125,2026-02-12 13:36:00-05:00,2026-02-12 15:36:59.393958,-1.618073243187238
AAPL,261.6099853515625,2026-02-12 13:37:00-05:00,2026-02-12 15:38:00.585983,-2.664896110896812
AAPL,261.67498779296875,2026-02-12 13:38:00-05:00,2026-02-12 15:38:59.511544,-1.618700621992756
AAPL,262.114990234375,2026-02-12 13:39:00-05:00,2026-02-12 15:39:59.517643,0.7545324329037015
